No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Links
1,16,CPG1511F01S04,"SW6,SW7,SW8,SW9,SW18,SW19,SW20,SW21,SW22,SW23,SW24,SW25,SW26,SW27,SW28,SW29",KEY-TH_CPG1511F01S0X,,CPG1511F01S04,Kailh(凯华),C400226,https://www.kailh.net/products/kailh-box-switch-set?variant=43810892284146
2,4,100nF,"C11,C12,C13,C14",C0402,100nF,CL05B104KB54PNC,SAMSUNG(三星),C307331,https://www.lcsc.com/product-detail/C307331.html?s_z=n_C307331
3,3,10uF,"C5,C7,C8",C0603,10uF,CL10A106KP8NNNC,SAMSUNG(三星),C19702,https://www.lcsc.com/product-detail/C19702.html?s_z=n_C19702
4,2,5.1kΩ,"R1,R2",R0603,5.1kΩ,0603WAF5101T5E,UNI-ROYAL(厚声),C23186,https://www.lcsc.com/product-detail/C23186.html?s_z=n_C23186
5,2,10uF,"C1,C10",C0805,10uF,CC0805KKX5R7BB106,YAGEO(国巨),C89827,https://www.lcsc.com/product-detail/C89827.html?s_z=n_C89827
6,2,22uF,"C3,C4",C0805,22uF,CL21A226MPQNNNE,SAMSUNG(三星),C29277,https://www.lcsc.com/product-detail/C29277.html?s_z=n_C29277
7,2,10kΩ,"R6,R7",R0805,10kΩ,RC0805FR-0710KL,YAGEO(国巨),C84376,https://www.lcsc.com/product-detail/C84376.html?s_z=n_C84376
8,2,22Ω,"R8,R9",R0402,22Ω,RC0402FR-0722RL,YAGEO(国巨),C114765,https://www.lcsc.com/product-detail/C114765.html?s_z=n_C114765
9,1,CD74HC4067SM96,U17,SSOP-24_L8.1-W5.3-P0.65-LS7.8-BL,,CD74HC4067SM96,TI(德州仪器),C98457,https://www.lcsc.com/product-detail/C98457.html?s_z=n_C98457
10,1,ESP32-S3-WROOM-1-N16R8,U32,WIRELM-SMD_ESP32-S3-WROOM-1,,ESP32-S3-WROOM-1-N16R8,ESPRESSIF(乐鑫),C2913202,https://www.lcsc.com/product-detail/C2913202.html?s_z=n_C2913202
11,1,TYPE-C 16PIN 2MD(073),USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,,TYPE-C 16PIN 2MD(073),SHOU HAN(首韩),C2765186,https://www.lcsc.com/product-detail/C2765186.html?s_z=n_C2765186
12,1,S2B-PH-SM4-TB(LF)(SN),CN1,CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN,,S2B-PH-SM4-TB(LF)(SN),JST,C295747,https://www.lcsc.com/product-detail/C295747.html?s_z=n_C295747
13,1,BQ24074RGTR,U33,QFN-16_L3.0-W3.0-P0.50-TL-EP1.7,,BQ24074RGTR,TI(德州仪器),C54313,https://www.lcsc.com/product-detail/C54313.html?s_z=n_C54313
14,1,TPS63031DSKR,U34,SON-10_L2.5-W2.5-P0.50-TL-EP,,TPS63031DSKR,TI(德州仪器),C15516,https://www.lcsc.com/product-detail/C15516.html?s_z=n_C15516
15,1,10kΩ,R3,R0805,10kΩ,0805W8F1002T5E,UNI-ROYAL(厚声),C17414,https://www.lcsc.com/product-detail/C17414.html?s_z=n_C17414
16,1,3.09kΩ,R4,R0805,3.09kΩ,RT0805BRD073K09L,YAGEO(国巨),C865456,https://www.lcsc.com/product-detail/C865456.html?s_z=n_C865456
17,1,1.78kΩ,R5,R1206,1.78kΩ,RT1206BRD071K78L,YAGEO(国巨),C706404,https://www.lcsc.com/product-detail/C706404.html?s_z=n_C706404
18,1,1.5uH,L1,IND-SMD_L4.0-W4.0-A,1.5uH,XFL4020-152MEC,Coilcraft(线艺),C3033018,https://www.lcsc.com/product-detail/C3033018.html?s_z=n_C3033018
19,1,100nF,C6,C0805,100nF,CC0805KRX7R9BB104,YAGEO(国巨),C49678,https://www.lcsc.com/product-detail/C49678.html?s_z=n_C49678
20,1,1uF,C9,C0402,1uF,0402X105K160NT,FH(风华),C167339,https://www.lcsc.com/product-detail/C167339.html?s_z=n_C167339
21,1,EC11E1834403,SW1,SW-TH_EC11E1820402,,EC11E1834403,ALPSALPINE(阿尔卑斯阿尔派),C361165,https://www.lcsc.com/product-detail/C361165.html?s_z=n_C361165
22,1,18650 battery,,,,,,,https://pl.aliexpress.com/item/1005009524416323.html?spm=a2g0o.productlist.main.12.3bedXbSaXbSa8H&algo_pvid=6d935134-b8b3-4944-88cb-66b68adbf968&algo_exp_id=6d935134-b8b3-4944-88cb-66b68adbf968-11&pdp_ext_f=%7B%22order%22%3A%2226%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21PLN%2134.29%2119.89%21%21%219.02%215.23%21%40210384b917748049660208831e7579%2112000049361798648%21sea%21PL%214695858605%21X%211%210%21n_tag%3A-29919%3Bd%3A7f68bc99%3Bm03_new_user%3A-29895&curPageLogUid=nlEZbWpwp01V&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009524416323%7C_p_origin_prod%3A
